sample_id,unique_sample_id,sample_label,Crop,treatment_2,date,watershed,AM_vs_ECM,soil_type
Brzostek_76,76,2017 7 AM2 R,,,2017,7_ecosystem_recovery,AM,Rhizosphere
Brzostek_77,77,2017 7 AM3 R,,,2017,7_ecosystem_recovery,AM,Rhizosphere
Brzostek_78,78,2017 7 AM5 R,,,2017,7_ecosystem_recovery,AM,Rhizosphere
Brzostek_79,79,2017 7 AM6 R,,,2017,7_ecosystem_recovery,AM,Rhizosphere
Brzostek_80,80,2017 3 ECM1 R,,,2017,3_ammonium_sulfate,ECM,Rhizosphere
Brzostek_81,81,2017 3 ECM2 R,,,2017,3_ammonium_sulfate,ECM,Rhizosphere
Brzostek_82,82,2017 3 ECM3 R,,,2017,3_ammonium_sulfate,ECM,Rhizosphere
Brzostek_83,83,2017 3 ECM4 R,,,2017,3_ammonium_sulfate,ECM,Rhizosphere
Brzostek_84,84,2017 3 ECM5 R,,,2017,3_ammonium_sulfate,ECM,Rhizosphere
Brzostek_85,85,2017 3 ECM6 R,,,2017,3_ammonium_sulfate,ECM,Rhizosphere
Brzostek_86,86,2017 7 AM1 B,,,2017,7_ecosystem_recovery,AM,Bulk
Brzostek_87,87,2017 7 AM2 B,,,2017,7_ecosystem_recovery,AM,Bulk
Brzostek_88,88,2017 7 AM3 B,,,2017,7_ecosystem_recovery,AM,Bulk
Brzostek_89,89,2017 7 AM4 B,,,2017,7_ecosystem_recovery,AM,Bulk
Brzostek_90,90,2017 7 AM5 B,,,2017,7_ecosystem_recovery,AM,Bulk
Brzostek_91,91,2017 7 AM6 B,,,2017,7_ecosystem_recovery,AM,Bulk
Brzostek_92,92,2017 3 ECM1 B,,,2017,3_ammonium_sulfate,ECM,Bulk
Brzostek_93,93,2017 3 ECM2 B,,,2017,3_ammonium_sulfate,ECM,Bulk
Brzostek_94,94,2017 3 ECM3 B,,,2017,3_ammonium_sulfate,ECM,Bulk
Brzostek_95,95,2017 3 ECM4 B,,,2017,3_ammonium_sulfate,ECM,Bulk
Brzostek_96,96,2017 3 ECM5 B,,,2017,3_ammonium_sulfate,ECM,Bulk
Brzostek_97,97,2017 3 ECM6 B,,,2017,3_ammonium_sulfate,ECM,Bulk
Brzostek_110,110,2017 3 AM1 R,,,2017,3_ammonium_sulfate,AM,Rhizosphere
Brzostek_111,111,2017 3 AM2 R,,,2017,3_ammonium_sulfate,AM,Rhizosphere
Brzostek_112,112,2017 3 AM3 R,,,2017,3_ammonium_sulfate,AM,Rhizosphere
Brzostek_113,113,2017 3 AM4 R,,,2017,3_ammonium_sulfate,AM,Rhizosphere
Brzostek_114,114,2017 3 AM5 R,,,2017,3_ammonium_sulfate,AM,Rhizosphere
Brzostek_115,115,2017 3 AM6 R,,,2017,3_ammonium_sulfate,AM,Rhizosphere
Brzostek_116,116,2017 7 ECM1 R,,,2017,7_ecosystem_recovery,ECM,Rhizosphere
Brzostek_117,117,2017 7 ECM2 R,,,2017,7_ecosystem_recovery,ECM,Rhizosphere
Brzostek_118,118,2017 7 ECM3 R,,,2017,7_ecosystem_recovery,ECM,Rhizosphere
Brzostek_119,119,2017 7 ECM4 R,,,2017,7_ecosystem_recovery,ECM,Rhizosphere
Brzostek_120,120,2017 7 ECM5 R,,,2017,7_ecosystem_recovery,ECM,Rhizosphere
Brzostek_121,121,2017 7 ECM6 R,,,2017,7_ecosystem_recovery,ECM,Rhizosphere
Brzostek_122,122,2017 3 AM1 B,,,2017,3_ammonium_sulfate,AM,Bulk
Brzostek_123,123,2017 3 AM2 B,,,2017,3_ammonium_sulfate,AM,Bulk
Brzostek_124,124,2017 3 AM3 B,,,2017,3_ammonium_sulfate,AM,Bulk
Brzostek_125,125,2017 3 AM4 B,,,2017,3_ammonium_sulfate,AM,Bulk
Brzostek_126,126,2017 3 AM5 B,,,2017,3_ammonium_sulfate,AM,Bulk
Brzostek_127,127,2017 3 AM6 B,,,2017,3_ammonium_sulfate,AM,Bulk
Brzostek_128,128,2017 7 ECM1 B,,,2017,7_ecosystem_recovery,ECM,Bulk
Brzostek_130,130,2017 7 ECM3 B,,,2017,7_ecosystem_recovery,ECM,Bulk
Brzostek_131,131,2017 7 ECM4 B,,,2017,7_ecosystem_recovery,ECM,Bulk
Brzostek_132,132,2017 7 ECM5 B,,,2017,7_ecosystem_recovery,ECM,Bulk
Brzostek_133,133,2017 7 ECM6 B,,,2017,7_ecosystem_recovery,ECM,Bulk
Brzostek_135,135,2022 3 AM1 R,,,2022,3_ammonium_sulfate,AM,Rhizosphere
Brzostek_136,136,2022 3 AM1 B,,,2022,3_ammonium_sulfate,AM,Bulk
Brzostek_138,138,2022 3 AM2 R,,,2022,3_ammonium_sulfate,AM,Rhizosphere
Brzostek_139,139,2022 3 AM2 B,,,2022,3_ammonium_sulfate,AM,Bulk
Brzostek_141,141,2022 3 AM3 R,,,2022,3_ammonium_sulfate,AM,Rhizosphere
Brzostek_142,142,2022 3 AM3 B,,,2022,3_ammonium_sulfate,AM,Bulk
Brzostek_144,144,2022 3 AM4 R,,,2022,3_ammonium_sulfate,AM,Rhizosphere
Brzostek_145,145,2022 3 AM4 B,,,2022,3_ammonium_sulfate,AM,Bulk
Brzostek_147,147,2022 3 AM5 R,,,2022,3_ammonium_sulfate,AM,Rhizosphere
Brzostek_148,148,2022 3 AM5 B,,,2022,3_ammonium_sulfate,AM,Bulk
Brzostek_150,150,2022 3 AM6 R,,,2022,3_ammonium_sulfate,AM,Rhizosphere
Brzostek_151,151,2022 3 AM6 B,,,2022,3_ammonium_sulfate,AM,Bulk
Brzostek_153,153,2022 3 ECM1 R,,,2022,3_ammonium_sulfate,ECM,Rhizosphere
Brzostek_154,154,2022 3 ECM1 B,,,2022,3_ammonium_sulfate,ECM,Bulk
Brzostek_156,156,2022 3 ECM2 R,,,2022,3_ammonium_sulfate,ECM,Rhizosphere
Brzostek_157,157,2022 3 ECM2 B,,,2022,3_ammonium_sulfate,ECM,Bulk
Brzostek_160,160,2022 3 ECM3 R,,,2022,3_ammonium_sulfate,ECM,Rhizosphere
Brzostek_161,161,2022 3 ECM3 B,,,2022,3_ammonium_sulfate,ECM,Bulk
Brzostek_163,163,2022 3 ECM4 R,,,2022,3_ammonium_sulfate,ECM,Rhizosphere
Brzostek_164,164,2022 3 ECM4 B,,,2022,3_ammonium_sulfate,ECM,Bulk
Brzostek_166,166,2022 3 ECM5 R,,,2022,3_ammonium_sulfate,ECM,Rhizosphere
Brzostek_167,167,2022 3 ECM5 B,,,2022,3_ammonium_sulfate,ECM,Bulk
Brzostek_169,169,2022 3 ECM6 R,,,2022,3_ammonium_sulfate,ECM,Rhizosphere
Brzostek_170,170,2022 3 ECM6 B,,,2022,3_ammonium_sulfate,ECM,Bulk
Brzostek_172,172,2022 7 AM1 R,,,2022,7_ecosystem_recovery,AM,Rhizosphere
Brzostek_173,173,2022 7 AM1 B,,,2022,7_ecosystem_recovery,AM,Bulk
Brzostek_175,175,2022 7 AM2 R,,,2022,7_ecosystem_recovery,AM,Rhizosphere
Brzostek_176,176,2022 7 AM2 B,,,2022,7_ecosystem_recovery,AM,Bulk
Brzostek_178,178,2022 7 AM3 R,,,2022,7_ecosystem_recovery,AM,Rhizosphere
Brzostek_179,179,2022 7 AM3 B,,,2022,7_ecosystem_recovery,AM,Bulk
Brzostek_183,183,2022 7 AM5 R,,,2022,7_ecosystem_recovery,AM,Rhizosphere
Brzostek_184,184,2022 7 AM5 B,,,2022,7_ecosystem_recovery,AM,Bulk
Brzostek_186,186,2022 7 AM6 R,,,2022,7_ecosystem_recovery,AM,Rhizosphere
Brzostek_187,187,2022 7 AM6 B,,,2022,7_ecosystem_recovery,AM,Bulk
Brzostek_189,189,2022 7 ECM1 R,,,2022,7_ecosystem_recovery,ECM,Rhizosphere
Brzostek_192,192,2022 7 ECM2 R,,,2022,7_ecosystem_recovery,ECM,Rhizosphere
Brzostek_193,193,2022 7 ECM2 B,,,2022,7_ecosystem_recovery,ECM,Bulk
Brzostek_195,195,2022 7 ECM3 R,,,2022,7_ecosystem_recovery,ECM,Rhizosphere
Brzostek_196,196,2022 7 ECM3 B,,,2022,7_ecosystem_recovery,ECM,Bulk
Brzostek_198,198,2022 7 ECM4 R,,,2022,7_ecosystem_recovery,ECM,Rhizosphere
Brzostek_199,199,2022 7 ECM4 B,,,2022,7_ecosystem_recovery,ECM,Bulk
Brzostek_201,201,2022 7 ECM5 R,,,2022,7_ecosystem_recovery,ECM,Rhizosphere
Brzostek_202,202,2022 7 ECM5 B,,,2022,7_ecosystem_recovery,ECM,Bulk
Brzostek_204,204,2022 7 ECM6 R,,,2022,7_ecosystem_recovery,ECM,Rhizosphere
Brzostek_205,205,2022 7 ECM6 B,,,2022,7_ecosystem_recovery,ECM,Bulk